iter	Logloss
0	0.6551346843
1	0.6245936558
2	0.593482342
3	0.5653534249
4	0.5446760593
5	0.5210994606
6	0.5006792749
7	0.4820676738
8	0.4667646008
9	0.4533705985
10	0.4421758607
11	0.4316060338
12	0.4215539539
13	0.4123214796
14	0.4048316157
15	0.3979300902
16	0.3918367402
17	0.3855323289
18	0.3802451475
19	0.3749159855
20	0.3709265316
21	0.3662094888
22	0.3631318113
23	0.3594820535
24	0.3559895659
25	0.3531096035
26	0.3506514578
27	0.3476671076
28	0.3453750373
29	0.3435263448
30	0.3412269746
31	0.3393954187
32	0.3375362838
33	0.3357580683
34	0.3342097804
35	0.3328738709
36	0.3310400482
37	0.3298728387
38	0.3287704703
39	0.3278684312
40	0.3265042325
41	0.3255647646
42	0.324246133
43	0.3231077359
44	0.3220996233
45	0.3210031409
46	0.320254031
47	0.3193427324
48	0.3187436414
49	0.3180582869
50	0.3173284622
51	0.3166393126
52	0.3161196988
53	0.3154277626
54	0.3147537001
55	0.3143432395
56	0.3138610472
57	0.3134783456
58	0.3130250596
59	0.3124198529
60	0.3117904093
61	0.3114058312
62	0.3110894377
63	0.310675619
64	0.3102725011
65	0.3099253378
66	0.3095559315
67	0.3092524556
68	0.3088694383
69	0.3084904202
70	0.3078897447
71	0.3074351037
72	0.3073074103
73	0.3070745171
74	0.3067445625
75	0.3063430426
76	0.3060478266
77	0.3058312806
78	0.3055510093
79	0.3052300882
80	0.3047844717
81	0.3045505214
82	0.3042738344
83	0.3040880041
84	0.3035771139
85	0.3030852576
86	0.3026608674
87	0.3023521064
88	0.3022019772
89	0.3019371554
90	0.3017462765
91	0.3015291812
92	0.3013034466
93	0.3011305597
94	0.3009537954
95	0.3008926874
96	0.3005787831
97	0.3003571692
98	0.300208054
99	0.2998358431
100	0.2996927323
101	0.2994713967
102	0.2992532593
103	0.299046247
104	0.29889144
105	0.2986876395
106	0.2984502713
107	0.2982316251
108	0.2981220601
109	0.2979585099
110	0.2978436972
111	0.2976932209
112	0.2974278867
113	0.2972768555
114	0.2970222018
115	0.2967465315
116	0.2965259407
117	0.2964240421
118	0.2963525398
119	0.2962080575
120	0.2960919512
121	0.296012207
122	0.2959480601
123	0.295715323
124	0.2956192383
125	0.295505876
126	0.2951434649
127	0.2950424291
128	0.2949044063
129	0.2948096566
130	0.2945151509
131	0.2943988271
132	0.2943425765
133	0.2942619879
134	0.2938553877
135	0.2937180098
136	0.2934870414
137	0.2934286918
138	0.2933273905
139	0.2926042275
140	0.2924712561
141	0.2924060143
142	0.2921019307
143	0.2920211108
144	0.2915321569
145	0.2913888918
146	0.2912985273
147	0.2911261909
148	0.2910782394
149	0.2909950533
150	0.2908960876
151	0.2907443476
152	0.2906643011
153	0.2905933425
154	0.2905512485
155	0.2903973228
156	0.2902706734
157	0.2902071907
158	0.2901795743
159	0.2897525952
160	0.2896647116
161	0.2895873407
162	0.289532563
163	0.2894710214
164	0.2894682796
165	0.2892917256
166	0.2891304542
167	0.2890514641
168	0.2888246479
169	0.288747516
170	0.288654928
171	0.2885862607
172	0.2884936702
173	0.2883828587
174	0.2882512772
175	0.2878841205
176	0.2878036046
177	0.287698073
178	0.2876390732
179	0.2875322439
180	0.2875091294
181	0.2874529889
182	0.2874240325
183	0.2873887819
184	0.2872310794
185	0.2871175443
186	0.2870971902
187	0.2870176023
188	0.2869150722
189	0.2868689255
190	0.28659439
191	0.2865110588
192	0.2864599775
193	0.2864080275
194	0.2863465099
195	0.286283553
196	0.2862122653
197	0.2859319854
198	0.2858804966
199	0.2858231411
200	0.285768598
201	0.2856660578
202	0.2856333706
203	0.2855933838
204	0.2855435894
205	0.2854847482
206	0.2854032889
207	0.2852369979
208	0.2851857263
209	0.2850973289
210	0.2850448447
211	0.2846019286
212	0.2845937349
213	0.2845234101
214	0.2844952905
215	0.2842872622
216	0.2842581742
217	0.2842008032
218	0.2840993002
219	0.28403638
220	0.2840198356
221	0.2839671409
222	0.2839156219
223	0.2838146308
224	0.283681787
225	0.283616811
226	0.2835053298
227	0.2834510211
228	0.2832127753
229	0.2831710915
230	0.2831174502
231	0.2830688684
232	0.2830267556
233	0.2829579281
234	0.2829037556
235	0.2828854174
236	0.2828122475
237	0.2827655199
238	0.2827127665
239	0.2826464771
240	0.2826235539
241	0.2825025253
242	0.282456455
243	0.282361313
244	0.2823187673
245	0.2822759793
246	0.282042062
247	0.2819570883
248	0.2819150037
249	0.2818681757
250	0.2818043132
251	0.2817687432
252	0.2817076361
253	0.2816901884
254	0.2815892622
255	0.2815377307
256	0.2815036019
257	0.2814008109
258	0.2813941465
259	0.2813348163
260	0.2812898828
261	0.281203094
262	0.2809506348
263	0.2809210483
264	0.2808616178
265	0.2808319083
266	0.2807762027
267	0.2807083954
268	0.2806023961
269	0.2805538127
270	0.2805096566
271	0.2803131029
272	0.2802420725
273	0.2800220418
274	0.2799349366
275	0.2798116569
276	0.2797093594
277	0.2796958023
278	0.2796083448
279	0.2795034577
280	0.2793148896
281	0.2791699854
282	0.2790638663
283	0.2789679149
284	0.2789090777
285	0.2786041163
286	0.2784087146
287	0.2782160601
288	0.2781529782
289	0.2781144076
290	0.2780590007
291	0.2780259174
292	0.277945593
293	0.2778330333
294	0.2777516144
295	0.2776791055
296	0.277596014
297	0.2775196437
298	0.2775027622
299	0.2774312059
300	0.2772279691
301	0.2771096576
302	0.2770500864
303	0.2770001734
304	0.2769361228
305	0.2768241515
306	0.2767673566
307	0.2766765068
308	0.276601301
309	0.2765349792
310	0.2763877995
311	0.2763391275
312	0.2763156285
313	0.2762451604
314	0.2761662173
315	0.2761206904
316	0.2760646329
317	0.2759918317
318	0.2759771004
319	0.2758070565
320	0.2757285862
321	0.275657872
322	0.275618746
323	0.275457398
324	0.2754470794
325	0.2754185329
326	0.2752665539
327	0.2749569552
328	0.2748833448
329	0.2747960204
330	0.2747792476
331	0.2747125173
332	0.2746650783
333	0.2746438949
334	0.274608467
335	0.2745718773
336	0.2745075158
337	0.2744315085
338	0.2744006354
339	0.2741887742
340	0.2741148327
341	0.274083914
342	0.2740474488
343	0.2739836304
344	0.273974339
345	0.2738416919
346	0.273809758
347	0.2737841426
348	0.2737319409
349	0.2737117527
350	0.2736720213
351	0.2735998788
352	0.273563256
353	0.273499245
354	0.2734628276
355	0.2734029626
356	0.2733659738
357	0.2733071205
358	0.2732592189
359	0.2732332486
360	0.2731728894
361	0.2730230663
362	0.2729681729
363	0.2729615511
364	0.2729016676
365	0.2728683765
366	0.272766042
367	0.2727465147
368	0.2726815852
369	0.2726576579
370	0.2725778575
371	0.2725088103
372	0.2724923458
373	0.2724363926
374	0.2723254118
375	0.2723023776
376	0.2722473356
377	0.2721554345
378	0.2721289824
379	0.2720718363
380	0.2720411478
381	0.2719183233
382	0.2718128131
383	0.2717837619
384	0.2717049048
385	0.2716544223
386	0.2716034145
387	0.2715369425
388	0.2715268385
389	0.2714705537
390	0.2714181838
391	0.2713523762
392	0.2711852983
393	0.2711510569
394	0.2711275357
